Industry_Type,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage,Continent
Manufacturing,germany,2001,35.04,91.02,47.89,100.35,32.97,10.5,326.21,4384.84,29.19,54.68,-8.35,-4,Europe
Mining,germany,2007,143.11,29.32,73.76,197.72,38.67,15.8,36.53,23576,40.48,60.4,10.59,-4.03,Europe
Energy,germany,2001,265,85.28,9.54,186.92,2.28,14.94,203.92,19368.86,54.61,86.86,2.37,3.19,Europe
Construction,germany,2005,168.2,51.65,33.18,79.77,39.04,19.42,1329.02,15164.94,23.39,42.83,10.06,9.04,Europe
Manufacturing,germany,2011,61.15,526.26,50.16,40.56,45.06,11.93,915.56,4783.65,91,11.74,-8.29,0.58,Europe
Manufacturing,germany,2021,194.14,501.01,28.87,47.39,22.02,5.54,1031.16,10875.25,46.58,42.31,4.33,5.84,Europe
Energy,germany,2013,258.35,311.5,82.53,55.83,19.49,16.17,111.2,3198.82,99.56,91.19,7.84,-4.1,Europe
Mining,germany,2013,165.42,797.84,96.85,151.69,20.68,12.09,1376.63,16520.64,29.86,53.79,-1.7,-1.13,Europe
Construction,germany,2007,296.55,843.72,73.06,47.19,19.51,16.38,155.29,5796.87,52.95,85.52,5.14,-3.6,Europe
Construction,germany,2009,66.61,502.21,58.11,89.05,10.83,5.99,1191.89,4459.06,50.03,58.23,-9.3,-0.34,Europe
Mining,germany,2002,157.04,54.93,80.43,190.61,27.56,10.68,626.12,9759.2,80.26,16.46,-3.7,8.5,Europe
Mining,germany,2013,140.28,649.03,44.44,87.17,49.01,5.26,1356.97,12543.88,47.11,9.48,-0.63,-4.79,Europe
Construction,germany,2022,284.81,76.35,87.53,63.75,18.03,1.92,148.9,13896.85,84.17,37.44,3.53,0.85,Europe
Construction,germany,2010,112.4,659.3,50.98,153.37,43.98,2.19,1426.24,16444.62,66.43,55.17,-6.06,-0.66,Europe
Manufacturing,germany,2017,173.61,397.12,78.45,48.71,21.86,2.84,853.87,24365.83,59.96,31.72,-6.2,-2.13,Europe
Manufacturing,germany,2001,51.37,543.07,28.35,41.28,0.97,17.92,839.55,17106.03,24.03,16.01,2.1,3.5,Europe
Mining,germany,2019,179.12,912.37,12.62,12.7,23.45,5.93,197.38,17864.48,58.84,51.88,7.2,7.39,Europe
Mining,germany,2008,238.37,238.91,5.94,98.31,39.93,8,1488.36,13029.2,43.68,40.45,13.64,3.2,Europe
Mining,germany,2022,27.04,359.33,7.37,40.42,35.76,3.84,220.13,5455.61,99.93,84.6,-4.07,7.37,Europe
Mining,germany,2005,177.25,447.72,35.41,196.45,39.11,13.07,495.91,17712.88,31.54,21.05,3.25,4.13,Europe
Manufacturing,germany,2006,200.54,633.59,28.09,4.19,15.9,5.48,1084.5,4253.46,48.71,21.66,-4.2,-1.43,Europe
Mining,germany,2008,180.96,813.01,82.3,180.26,4.15,2.07,456.88,18370.83,35.32,87.38,5.13,-4.32,Europe
Mining,germany,2017,95.91,129.11,59.61,197.43,42.17,18.76,1176.68,7093.89,87.24,8.93,2.35,8.35,Europe
Construction,germany,2010,117.79,467.38,77.6,48.36,35.81,9.07,614.75,12693.06,51.47,99.24,4.85,-4.26,Europe
Construction,germany,2001,294.92,966.16,52.43,166.6,22.95,3.32,877.94,3747.06,99.36,24.58,-2.69,4.97,Europe
Manufacturing,germany,2022,60.61,542.36,72.13,150.67,48.73,10.59,610.96,2783.86,48.93,14.04,-3.31,3.94,Europe
Energy,germany,2016,264.87,347.67,75.05,83.65,4.95,2.07,1212.89,399.74,67.97,81.05,-1,-1.55,Europe
Manufacturing,germany,2005,207.97,214.2,89.46,190.55,49.18,19.32,142.64,5945.22,95.75,56.3,-4.46,9.82,Europe
Mining,germany,2013,2.18,231.8,22.58,76.16,36.89,9.83,1189.98,9174.87,42.18,3.07,7.26,6.85,Europe
Mining,germany,2002,207.42,285.88,35.13,72.58,15.18,16.63,372.53,5429.12,66.75,65.17,13.91,-3.98,Europe
Mining,germany,2012,265.08,857.62,20.49,20.27,15.71,11.72,382.55,15038.5,65.82,52.22,-0.5,9.91,Europe
Energy,germany,2013,293.69,366.65,90.76,6.06,45.41,19.89,1462.86,10104.96,21.23,61.3,8.71,7.29,Europe
Manufacturing,germany,2006,50.71,441.25,64.97,152.5,20.11,18.16,124.45,6417.71,62.47,17.32,-4.13,-2.5,Europe
Mining,germany,2016,256.65,285.4,88.67,189.93,44.84,13.46,713.91,9674.92,48.74,86,11.17,4.8,Europe
Mining,germany,2010,90.7,60.71,45.2,34.18,22.69,9.19,1287.5,8225.91,95.14,14.64,-6.9,0.74,Europe
Energy,germany,2009,237.66,511.82,49.89,117.86,22.19,18.24,902.81,10766.28,71.14,79,5.4,0.16,Europe
Energy,germany,2014,142,526.46,26.45,97.88,8.13,18.73,1125.2,12594.6,34.01,23.59,13.18,-3.37,Europe
Construction,germany,2007,74.2,900.27,70.82,26.16,13.39,2.83,227.7,20437.42,89.35,90.92,-8.12,6.1,Europe
Manufacturing,germany,2008,228.55,780.36,50.81,122.15,25.3,11.83,1098.19,7341.01,59.68,74.74,-2.45,5.73,Europe
Manufacturing,germany,2009,29.33,181.18,71.82,105.29,16.25,14.84,678.58,10993.97,33.17,91.19,8.24,9.24,Europe
Mining,germany,2016,14.37,577.58,46.12,192.72,16,14.99,1458.69,16954.53,79.52,88.1,-6.62,-4.17,Europe
Manufacturing,germany,2018,185.96,114.87,53.63,87.72,35.94,5.57,591.14,3695.96,97.55,63.06,0.76,3.98,Europe
Energy,germany,2005,14.65,873.92,77.02,179.56,47.88,8.91,803.84,3774.1,63.58,44.5,11.9,3.31,Europe
Construction,germany,2022,227.31,38.3,75.19,4.49,46.61,12.49,1010.45,8180.36,99.76,74.6,-2.55,3.4,Europe
Mining,germany,2022,218.29,416.8,97.12,61.55,24.93,8.88,182.7,17913.61,94.67,49.73,-0.52,3.4,Europe
Energy,germany,2013,71.22,740.98,4.49,173.17,45.02,8.49,1143.3,24680.41,45.69,58.63,-2.55,4.98,Europe
Mining,germany,2013,136.23,989.81,81.32,41.57,45.64,5.74,1082.78,17023.82,71.91,21.24,-0.21,-1.32,Europe
Mining,germany,2008,67.91,453.89,58.82,187.19,37.92,17.31,64.89,8676.56,23.65,20.99,14.59,-1.16,Europe
Manufacturing,germany,2013,234.96,771.01,45.32,16.34,2.91,12.57,386.04,424.65,89.06,86.98,9.97,4.97,Europe
Mining,germany,2000,298.07,325.06,5.15,135.07,33.54,0.16,1146.52,5821.83,62.72,66.85,3.54,6.92,Europe
Construction,germany,2011,5.07,428.94,80.42,71.42,7.54,7.3,1497.08,3114.91,79.92,27.88,7.99,-1.83,Europe
Manufacturing,germany,2000,244.21,61.41,31.06,61.9,35.04,1.95,620.32,6144.14,22.8,33.82,-0.99,3.36,Europe
Construction,germany,2012,79.89,493.88,17.16,112.04,28.56,10.2,447.47,16191.09,45.09,26.02,0.82,5.43,Europe
Manufacturing,germany,2021,106.17,458.27,84.58,129.03,31.29,10.46,1277.61,4636.79,78.78,37.98,-8.02,-2.64,Europe
Construction,germany,2016,78.1,658.92,77.74,150.33,2.52,18.15,571.93,12063.65,43.72,71.6,-0.59,5.26,Europe
Energy,germany,2021,214.92,475.62,37.53,31.44,21.12,8.62,1190.12,13355.48,43.67,13.91,7.58,3.1,Europe
Mining,germany,2019,281.57,60.85,16.75,30.65,12.31,14.81,176.38,20444.4,84.18,6.31,-0.51,9.61,Europe
Manufacturing,germany,2010,205.56,314.14,83.59,43.21,40.84,4.49,86.67,11768.44,53.84,66.5,-8.14,9.16,Europe
Energy,germany,2010,213.85,870.63,25.16,195.54,22.78,4.97,161.52,7339.43,82.35,79.83,14.05,7.69,Europe
Energy,germany,2012,249.18,353.76,19.28,0.2,43.34,19.54,870.94,15781.73,29.73,5.09,-5.86,7.8,Europe
Mining,germany,2012,295.88,566.52,32.62,105.17,3.01,18.53,177.33,6517.4,63.72,88.47,-0.82,-0.29,Europe
Energy,germany,2005,293.17,857.78,56.85,73.29,28.13,10.58,1247.96,13601.25,96.89,44.02,4.59,-1.79,Europe
Energy,germany,2014,105.99,640.7,61.55,63.9,46.76,0.85,723.82,12031.36,52.02,68.22,4.75,-2.13,Europe
Energy,germany,2000,280.78,187,91.25,173.44,0.14,19.19,415.76,8308.71,36.58,50.12,4.72,8.96,Europe
Energy,germany,2009,180.13,385.09,98.48,67.61,24.51,14.76,262.47,20388.59,78.34,67.12,11.02,5.39,Europe
Construction,germany,2001,41.06,821.78,15.47,94.4,27.89,8.29,1469.16,4593,48.94,98.35,14.34,1.68,Europe
Construction,germany,2011,13.23,451.07,35.45,73.66,13.1,4.36,312.87,22437.29,69.81,85.23,14.13,-2.22,Europe
Mining,germany,2006,19.62,768.26,61.52,23.64,16.56,16.36,661.5,2249.37,27.97,33.27,4.78,3.16,Europe
Manufacturing,germany,2012,298.79,848.61,83.63,12.65,2.16,2.97,514.28,24314.57,73.73,18.68,12,-4.73,Europe
Mining,germany,2020,77.42,381.58,90.71,20.59,15.09,6.71,912.87,8222.48,31.85,49.22,6.95,6.71,Europe
Mining,germany,2013,153.92,576.77,28.83,193.33,21.85,6.81,970.92,18512.6,45.22,71.18,9.2,1.2,Europe
Mining,germany,2021,289.49,230.87,38.68,28.52,16.49,15.84,1496.42,22398.23,45.53,8.54,14.51,8.91,Europe
Mining,germany,2010,82.17,697.9,40.96,0.85,49.61,5.33,1173.62,8856.34,39.5,75.05,2.56,0.96,Europe
Manufacturing,germany,2018,24.11,710.6,43.04,155.16,28.61,8.49,544.19,14261.82,54.18,99.14,5.79,8.78,Europe
Construction,germany,2010,60.26,736.07,70.52,115.58,33.99,0.34,1118.12,22003.09,42.79,14.98,14.27,-0.78,Europe
Energy,germany,2012,162.93,651.59,30.52,67.92,23.58,8.94,258.45,6452.48,51.91,57.96,1.45,-1.12,Europe
Manufacturing,germany,2020,201.41,5.69,61.03,148.77,30.39,10.15,861.24,8749.32,88.91,6.14,5.08,-3.75,Europe
Manufacturing,germany,2009,285.76,256.12,15.6,50.05,14.5,11.86,1497.4,1163.64,99.66,8.78,4.51,5.81,Europe
Energy,germany,2004,140.74,320.33,1.97,159.5,34.52,18.39,700.15,19069.7,82.93,6.15,-6.57,-3.76,Europe
Mining,germany,2000,273.91,601.89,64.69,144.5,25.79,1.9,575.94,21430.22,85.32,93.41,7.72,1.73,Europe
Manufacturing,germany,2019,104.04,347.5,35.72,26.87,48.94,9.01,801.42,12402.95,21.56,95.62,14.74,4.14,Europe
Mining,germany,2003,174.25,662.11,61.51,113.45,5.7,18.23,221.03,5949.91,69.72,87.98,12.51,1.82,Europe
Construction,germany,2022,161.42,471.93,15.25,98.41,33.9,8.49,1300.88,20149.68,40.79,40.59,11.37,0.37,Europe
Mining,germany,2004,67.19,171.66,71.67,169.75,17.25,2.03,942.35,18390.59,77.97,4.32,-4.41,0.83,Europe
Manufacturing,germany,2001,21.2,567.51,90.86,65.78,23.68,3.02,902.21,5246.32,61.58,11.4,0.93,9.47,Europe
Energy,germany,2007,55.15,475.12,49.33,90.31,10.17,17.17,134.8,18696.57,65.77,33.43,-9.61,-1.64,Europe
Manufacturing,germany,2008,159.7,691.05,87.04,146.74,25.17,2.45,1396.96,7944.74,85.35,99.58,-5.03,5.93,Europe
Manufacturing,germany,2006,227.97,62.11,69.8,184.78,0.87,12.09,1480.92,21846.64,81.18,72.5,-9.58,5.72,Europe
Energy,germany,2014,77.54,639.28,38.45,164.71,49.34,9.01,797.93,8942.38,61.3,7.09,7.02,-3.58,Europe
Construction,germany,2005,11.31,647.45,60.64,30.89,30.75,17.25,1156.03,14741.55,34.24,17.06,0.15,-4.92,Europe
Manufacturing,germany,2012,199.9,639.7,83.39,22.06,42.2,5.6,1218.08,21749.93,47.73,28.74,3.41,6.46,Europe
Energy,germany,2009,171.66,587.87,1.18,137.44,40.82,2.83,1353.57,1290.48,91.2,6.57,6.21,5.71,Europe
Mining,germany,2010,118.35,649.53,79.32,154.63,43.56,5.94,374.8,3583.87,60.92,79.37,-4.45,2.83,Europe
Manufacturing,germany,2016,123.84,695.91,27.38,53.42,12.58,18.55,230.62,13023.11,35.68,15.89,7.46,6.19,Europe
Manufacturing,germany,2007,71.9,133.45,68.38,162.72,26.75,10.04,262.95,13112.74,51.6,58.64,-2.26,1.71,Europe
Mining,germany,2016,230.43,563.7,89.66,45.61,44.75,10.17,1243.41,431.58,45.44,28.94,8.34,7.52,Europe
Mining,germany,2010,196.12,743.78,94.74,33.15,22.6,3.48,996.95,145.55,49.65,38.57,0.6,-4.19,Europe
Mining,germany,2007,82.36,972.6,98.32,45.36,10.24,10.03,273.67,15727.81,40.16,39.24,-7.3,-3.63,Europe
Energy,germany,2011,215.61,371.09,8.53,100.92,33.4,6.43,449.36,19380.66,79.23,20.44,12.58,9.43,Europe
Energy,germany,2005,267,532.17,6.48,147.56,10.69,17.06,1090.65,10942.1,35.99,88.86,6.14,1.07,Europe
Manufacturing,germany,2016,235.99,578.08,59.29,61.45,40.16,11.9,1025.64,14189.52,87.09,66.14,8.25,5.98,Europe
Manufacturing,germany,2017,213.33,149.79,47.52,13.74,3.37,15.21,101.92,16425.39,77.4,99.24,3.75,-0.12,Europe
Manufacturing,germany,2009,171.71,879.71,34.7,180.53,31.26,17.68,1112.26,14701.16,25.27,21.39,10.33,8.44,Europe
Energy,germany,2022,100.97,598.49,85.51,58.11,18.24,8.27,1440.78,1563.04,64.67,35.16,7.39,5.95,Europe
Mining,germany,2011,144.27,411.69,17.31,122.63,37.43,12.53,586.71,16346.25,81.33,13.69,-5.55,5.72,Europe
Manufacturing,germany,2000,112.48,471.15,75.06,10.21,48.3,12.94,257.06,9535.09,46.27,24.14,-3.86,9.64,Europe
Energy,germany,2005,63.36,332.07,80.75,105.61,46.01,10.31,243.86,19592.15,98.49,7.03,12.43,6.3,Europe
Manufacturing,germany,2017,202.56,642.82,62.29,62.68,28.51,12.15,670.35,19937.11,98.59,18.98,13.53,0.99,Europe
Manufacturing,germany,2021,11.11,177.58,85,79.06,21.7,10.25,348.29,20313.26,31.62,46.02,14.71,-4.52,Europe
Energy,germany,2000,228.39,862.9,65.9,151.59,21.78,13.01,515.41,17751.16,38.63,54.84,10.2,7.1,Europe
Construction,germany,2013,68.01,966.66,79.54,14.59,17.92,0.13,1223.36,24962.66,62.68,90.28,11.26,-3.39,Europe
Construction,germany,2000,260.8,182.93,84.7,115.42,0.36,7.87,1133.36,21798.86,74.34,0.57,11.95,-3.61,Europe
Energy,germany,2001,192.93,93.11,79.94,19.4,46.82,15.89,789.48,6317.24,88.57,25.79,2.85,-4.64,Europe
Energy,germany,2007,175.8,484.26,61.99,185.01,41.97,15.31,1451.36,8550.99,96.75,6.87,14.83,5.95,Europe
Energy,germany,2021,267.2,755.71,0.92,132.26,14.64,7.47,601.75,22012.55,90.61,83.03,3.03,0.73,Europe
Construction,germany,2009,248.4,330.44,58.71,199.72,23.72,1.84,480.47,15816.29,52.93,37.08,8.16,4.73,Europe
Energy,germany,2021,71.51,777.73,3.29,84.74,13.48,12.22,607.87,20759.23,30.07,55.16,3.95,-2.78,Europe
Energy,germany,2019,209.33,978.59,91.53,96.82,0.62,8.35,248.66,23120.12,37.25,19.83,1.93,-1.33,Europe
Mining,germany,2016,9.11,772.83,15.84,173.42,40.23,5.9,489.46,3119.86,96.31,36.77,-8.26,7.68,Europe
Construction,germany,2016,39.19,435.79,10.82,21.1,41.65,18.04,954.54,13165.41,29.89,79.68,-9.4,-4.24,Europe
Mining,germany,2001,225.23,452.92,7.25,125.2,18.76,17.18,955.34,24600.76,87.41,8.95,-1.32,6.51,Europe
Manufacturing,germany,2008,280.99,407.28,1.87,16.03,41.42,10.68,197.03,2138.97,26.53,11.41,7.81,4.48,Europe
Energy,germany,2004,109.18,189.67,23.49,194.34,16.85,5.26,156.5,14796.31,66.59,56.18,9.61,8.42,Europe
Energy,germany,2006,285.52,281.61,55.14,175.92,15.24,2.18,224.51,7669.02,47.05,39.28,1.27,-1.77,Europe
Manufacturing,germany,2019,159.6,171.37,83.83,160.03,22.17,10.41,1285.92,9395.57,46.47,17.23,-3.99,-4.75,Europe
Construction,germany,2002,259.44,192.94,8.6,102.58,19.3,8.44,1001.15,12504.51,77.22,8.71,-0.36,-2.65,Europe
Energy,germany,2020,70.14,844.65,38.2,164.59,3.68,19,1464.97,23606.66,50.93,65,-1.36,4.6,Europe
Mining,germany,2002,89.44,741.36,74.94,122.82,16.29,18.75,118.34,24492.29,40.21,69.59,1.96,3.65,Europe
Energy,germany,2008,275.56,864.89,76.66,17.33,38.77,16.65,153.28,18941.77,61.48,94.03,-6.43,8.71,Europe
Construction,germany,2004,298.93,728.68,59.25,48.3,41.93,10.71,90.37,1964.13,53.06,80.13,-1.95,4.28,Europe
Construction,germany,2011,100.85,958.66,32.79,52.14,18.86,10.62,1199.13,6741.64,36.76,67.22,-6.17,9.43,Europe
Mining,germany,2015,57.1,618.45,64.86,121.27,26.99,19.95,1009.47,12055.49,69.92,41.02,5.45,9.48,Europe
Construction,germany,2006,233.03,646.12,9.2,41.37,11.37,12.65,1259.1,24654.21,92.43,56.62,-0.87,-1.11,Europe
Mining,germany,2001,224.81,960.45,81.73,122.77,14.21,19.15,343.84,16915.33,31.36,49.51,-4.02,9.16,Europe
Mining,germany,2020,251.54,177.43,8.89,147.15,1.47,10.85,1359.4,6238.73,54.48,15.52,12.75,4.59,Europe
Manufacturing,germany,2016,264.47,979.19,18.44,119.47,3.98,4.44,713.11,17631.26,71.29,71.63,0.86,-3.98,Europe
Construction,germany,2008,132.38,217.96,21.47,117.99,18,9.96,548.42,8257.32,78.23,33.69,12.8,1.7,Europe
Mining,germany,2005,21.52,323.98,27.46,187.17,18.11,17.96,239.49,995.95,26.67,46.2,1.83,1.4,Europe
Manufacturing,germany,2022,227.72,238.37,61.82,99.32,40.37,6.6,727.95,24880.7,81.61,58.21,4.34,6.35,Europe
Manufacturing,germany,2012,5,393.56,79.22,126.76,19.16,13.94,52.85,1922.8,52.89,40.04,-1.03,1.93,Europe
Construction,germany,2006,99.79,345.7,20.73,181.1,46.21,5.17,333.29,18534.04,47.06,24.17,14.89,-1.87,Europe
Energy,germany,2021,280.47,365.85,67.52,80.67,44.4,6.98,1451.68,3147.31,38.84,93.69,12.64,-1.89,Europe
Energy,germany,2002,25.05,649.73,2.42,63.16,11.74,8.63,888.12,23847.69,44.62,91.7,-5,-0.68,Europe
Mining,germany,2012,258,107.25,42.38,162.46,32.14,2.02,1343.22,23559.37,79.87,42.35,8.03,7.97,Europe
Energy,germany,2015,221.49,193.73,61.9,164.31,2.71,11.48,307.86,9401.37,21.87,38.75,0.72,8.63,Europe
Mining,germany,2015,24.08,643.62,65.71,54.23,46.83,5.32,827.6,24857.87,67.22,91.95,12.81,-0.84,Europe
Manufacturing,germany,2013,248.83,277.86,83.24,179.8,9.13,14.47,1231.56,24275.94,54.88,83.12,3.56,6.39,Europe
Mining,germany,2001,267.31,26.65,99.96,122.27,35.68,2.3,1341.45,16816.06,61.9,62.89,7.08,2.31,Europe
Mining,germany,2016,220.29,896.89,99.05,108.37,10.53,7.46,1388.12,19212.12,39.9,12.14,12.97,5.1,Europe
Manufacturing,germany,2020,89.77,963.89,43.02,104.08,41.74,7.36,719.84,12246.92,30.13,91.15,10.38,2.42,Europe
Mining,germany,2022,158.04,904.81,59.42,42.81,26.62,2.63,117.76,9862.22,42.02,72.15,4.61,0.41,Europe
Manufacturing,germany,2006,96.33,545.08,7.89,140.06,0.58,17.04,1112.35,15653.53,25.7,75.44,-3.63,9.59,Europe
Manufacturing,germany,2002,246.89,986.31,69.73,93.16,30.14,7.56,383.22,3059.49,28.94,77.54,12.17,7.17,Europe
Mining,germany,2006,9.37,654.02,94.13,163.04,10.83,11.3,879.05,15239.33,94.13,32.51,-9.26,4,Europe
Construction,germany,2020,73.55,241.21,26.66,141.44,40.15,1.44,1373.04,20222.03,65.62,96.33,-3.78,7.26,Europe
Construction,germany,2000,121.81,363,4.89,48.96,45.93,3.35,872.86,21157.97,48.51,77.25,8.6,7.27,Europe
Manufacturing,germany,2017,219.26,956.36,82.42,41.45,19.58,18.47,658.04,23879.78,31.22,15,-1.52,1.43,Europe
Mining,germany,2000,238.12,726.55,32.28,100.79,39.48,13.61,25.26,18803.12,90.6,36.11,5.1,7.47,Europe
Manufacturing,germany,2001,253.94,635.12,77.26,69.23,29.72,17.6,889.08,11515.19,71.89,33.76,-1.75,-2.86,Europe
Energy,germany,2017,259.2,653.15,95.3,196.22,26.06,9.44,759.34,7823.32,24.11,8.43,5.49,-2.12,Europe
Manufacturing,germany,2014,275.98,916.83,95.66,194.52,3.48,10.61,537.41,16272.78,67.99,15.6,-8.09,0.03,Europe
Mining,germany,2016,171.32,542.9,68.96,70.03,2.37,0.4,769.04,11164.75,72.32,89.32,-3.18,-4.75,Europe
Mining,germany,2003,82.91,121.08,13.38,48.17,38.44,4.01,1100.68,12399.81,99.37,24.22,-1.71,-2.8,Europe
Energy,germany,2009,15.19,661.68,71.25,171.02,2.26,16.55,1497.74,15714.97,43.7,27.81,-8.45,4.24,Europe
Energy,germany,2008,164.98,866.18,77.32,135.19,27.01,19.62,799.57,24611.34,65.01,27.84,9.64,-2.87,Europe
Mining,germany,2017,113.15,740.94,40.41,164.28,14.6,10.27,502.5,10128.73,91.62,10.54,4.07,-2.52,Europe
Construction,germany,2010,225.8,208.93,81.84,0.74,16.11,11.74,903.05,12105.44,90.19,61.83,9.22,3.86,Europe
Manufacturing,germany,2015,165.45,632.31,43.14,190.32,32.49,9.26,693.9,12212.58,33.43,22.25,9.15,-1.12,Europe
Energy,germany,2010,129.44,49.34,58.15,125.55,24.88,12.95,853.48,10325.65,44.82,16.66,-6.49,2.02,Europe
Manufacturing,germany,2018,137.31,624.53,28.22,133.06,47.85,9.79,786.5,13291.07,95.45,85.26,-9.62,-3.46,Europe
